,pl_name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
10,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.011807128466661904,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
11,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.01202708334768512,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
12,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.01225113576604119,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
13,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.012479362054713113,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
14,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.012711839968690289,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
15,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.012948648711459043,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
16,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.013189868961986699,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
17,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.013435582902208256,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
18,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.013685874245025185,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
19,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.013940828262825779,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
20,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.014200531816536825,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
21,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.014465073385216465,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
22,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.01473454309619835,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
23,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.015009032755797357,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
24,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.015288635880587303,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
25,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.015573447729261343,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
26,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.015863565335085903,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
27,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.016159087538959182,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
28,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.016460115023085507,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
29,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.016766750345277002,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
30,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.017079097973894276,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
31,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.017397264323438015,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
32,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.017721357790803593,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
33,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.018051488792211093,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
34,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.018387769800823277,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
35,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.018730315385064374,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
36,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.019079242247652662,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
37,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.0194346692653602,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
38,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.019796717529513327,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
39,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.020165510387247464,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
40,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.020541173483530642,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
