M/M_E;t=0.01_log(L/Ls);t=0.05_log(L/Ls);t=0.10_log(L/Ls);t=0.50_log(L/Ls);t=1.00_log(L/Ls);t=3.00_log(L/Ls);t=5.00_log(L/Ls);t=7.00_log(L/Ls)
20.;-10.00;-10.02;-10.05;-10.21;-10.33;-10.63;-10.80;-10.92
50.;-7.50;-8.18;-8.45;-9.09;-9.45;-9.96;-10.17;-10.32
100.;-6.84;-7.57;-7.97;-8.67;-8.99;-9.54;-9.76;-9.90
159.;-6.67;-7.26;-7.65;-8.35;-8.66;-9.24;-9.46;-9.61
318.;-5.75;-6.68;-7.10;-7.90;-8.19;-8.75;-9.00;-9.14
636.;-5.22;-6.00;-6.44;-7.39;-7.68;-8.19;-8.48;-8.64
1590.;-4.46;-5.22;-5.59;-6.72;-7.02;-7.49;-7.73;-7.91
3180.;-4.02;-4.61;-4.93;-5.80;-6.25;-6.97;-7.19;-7.33
