M/M_E;t=0.01_log(L/Ls);t=0.05_log(L/Ls);t=0.10_log(L/Ls);t=0.50_log(L/Ls);t=1.00_log(L/Ls);t=3.00_log(L/Ls);t=5.00_log(L/Ls);t=7.00_log(L/Ls)
10.;-9.32;-9.73;-9.99;-10.77;-11.13;-11.33;-11.47;-11.57
20.;-8.25;-8.91;-9.27;-10.14;-10.55;-10.91;-11.03;-11.14
50.;-7.28;-8.06;-8.42;-9.40;-9.82;-10.40;-10.53;-10.62
100.;-6.71;-7.45;-7.85;-8.87;-9.28;-9.99;-10.17;-10.26
159.;-6.47;-7.11;-7.45;-8.44;-8.89;-9.60;-9.92;-10.04
318.;-5.91;-6.62;-6.97;-7.78;-8.22;-8.95;-9.28;-9.50
636.;-5.29;-6.11;-6.39;-7.20;-7.55;-8.22;-8.57;-8.80
1590.;-4.42;-5.37;-5.68;-6.50;-6.81;-7.36;-7.64;-7.85
3180.;-3.70;-4.58;-5.01;-5.86;-6.22;-6.75;-7.01;-7.19
