,name,pow_received_kinetic,pow_received_magnetic,freq_max_planet,pow_received_spi,freq_max_star
1831,WD 0137-349 b,0.40262345059120525,6880908088.321722,869.3350494157261,120009533807.28223,498.4449470982993
1445,SN2003aw b,1579379.192863429,165629570.95462173,838.3734544384682,14855030917.663275,93.4763692704791
1442,SDSS J1240-0159 b,970.9343170558186,36193554.74714496,814.462451993577,2641252175.409615,111.60725817916972
133,GD 552 b,150.30511262871585,5820921.257756756,702.4543673509255,1274480213.4378808,32.08313096118831
1313,KL Dra b,15031.247417700895,10157424.217501657,1421.722999447601,1211684838.9088855,119.18151619502167
1411,PPL 15 b,0.0008061043542146377,8613577963.526709,159.9772173768673,758600288.3727652,18164.720675489494
140,GJ 1214 b,0.15178234972516663,3689267794.1837177,9.14211351279859,367862916.07466066,916.855259927704
274,GW Lib b,2955.1434409615404,195355.0991495971,946.5836805507731,235311681.34313866,7.858511218477546
135,GJ 1061 b,0.07120622761278683,1416206326.944183,7.727572396713993,127371297.80019902,859.2074595418374
119,EF Eri b,2269.6052315315014,67762.92848484695,1028.446289386819,119583213.14506236,5.827785566665282
34,AL Com b,4.740330023105273,450710.9252260955,879.5562980517135,100438889.9992252,39.4693363184704
1854,YZ Cet b,0.18255002097925033,7057625912.129219,6.069413143202823,95988743.97116913,4462.569849205639
128,EZ Lyn b,598.1340223621918,51670.69280952819,1103.7999474597502,76630695.81213427,7.442723494014642
1639,TRAPPIST-1 b,0.007100529125776831,1099755838.2869778,5.768360403321838,52123679.62694882,1217.0645043288107
120,EG Cnc b,12.764573898053799,107780.46548475903,917.8454152747769,50649304.306246236,19.531523178131312
1391,NLTT 41135 b,0.33650866753711856,50509181.61581463,33.978690901588045,50357209.6051685,340.8123450986034
200,GJ 367  b,0.9771807221607988,22440673.14863594,38.17342541472647,48185168.13985743,177.7802995746159
1249,Kepler-42 c,0.0023015611187562936,72941772.75816457,36.71646075521011,39447695.20842023,678.9151362939301
1855,YZ Cet c,0.21077528484138652,3197725781.0987525,5.035902070313193,36085561.51607483,4462.569849205639
66,BW Scl b,1307421.9287727694,27401.494654433318,1259.9330856288313,32963100.592787057,10.473544384461396
1565,TOI-263 b,0.01664989730569326,3011829.449371089,238.3241828036581,27950988.559269782,256.8037229678967
1446,SSS J1222-3115 b,22.584920324493236,28107.944215878695,567.860288953048,27388422.48349625,5.827785566665282
1444,SDSS J1507+5230 b,5104.292873818302,13026.747519069486,1102.091338186633,24634855.626175225,5.827785566665282
1441,SDSS J1057+2759 b,21.690928880422405,25662.757927502647,949.2096202124768,24521099.841969013,9.934031043859369
1440,SDSS J1035+0551 b,429.00285073860255,10383.187811984548,1136.9386604344243,23837540.45866925,4.95229265052112
219,GJ 486 b,0.12512409102828195,94373288.68048939,10.054960569988445,19491976.25038309,486.8258017315242
1558,TOI-2445 b,0.02109254852137598,20693441.006499868,21.361064745728772,17186234.89586581,257.20231093669895
1331,LHS 1610 b,0.2558705977887791,9513806.478953162,52.138329466300206,12486437.943402046,397.2581923897604
1393,NSV 1440 b,773392368.998583,64919.28530088074,1172.7516754416845,12328571.015205394,61.75427834351995
141,GJ 1252 b,0.1010945520279478,14851435.889262283,16.018561002941016,11583724.945979137,205.3731704463453
243,GJ 724 b,0.31434309223937906,103275569.91249603,7.002933462732653,11501475.545631241,628.8166605698856
1640,TRAPPIST-1 c,0.005018148153254381,244056373.28212547,5.405434046544338,10839447.085369295,1217.0645043288107
1585,TOI-4481 b,0.16423291042537616,35428160.341551095,10.478671263947282,10765731.645140907,344.834942893163
1622,TOI-732 b,0.09129098788505928,34729668.931568235,14.42931725693155,8823198.467520108,567.9634353534449
1836,WISE J0720-0846,0.06047046549940659,19175213.921569787,274.33397228370745,8216017.703594946,6402.6305617530215
1609,TOI-6008 b,0.010978342332455301,24325184.561440147,11.479257089485007,7201565.571861326,387.74214376523645
988,K2-137 b,0.012313705808830826,233865.030547599,487.7166549048801,6328062.202273835,180.2445468328645
138,GJ 1132 b,0.02816408818683837,40667408.68087418,7.353249105842416,5944451.007559056,503.0533284559084
253,GJ 876 d,5.457729577335542,7422123.047216453,7.091563543707276,5189646.763800088,101.42204202740088
768,HD 41004 B b,3.217125791192135,385662.50684339734,56.26857144927885,4195216.89533173,51.72719042434577
201,GJ 3779 b,0.07978461808999798,71379842.20159414,5.22700842769557,4180360.7491065594,892.5139698411278
70,CD Cet b,0.234660227169526,29130119.1901324,6.469013586906887,3716019.379264173,507.1102101370045
1316,L 363-38 b,0.5564343391505493,17064530.50607547,6.377326450238716,3448220.5478572096,315.6006996853123
223,GJ 581 e,0.03190075242024382,22814666.610428486,5.622928171556748,3162163.496318557,405.6881681096035
1595,TOI-4860 b,0.05181000628873582,6334195.876032909,10.558114974101567,2969240.5848077545,225.23324202765968
1330,LHS 1478 b,0.013172417624464729,27013793.791882787,7.345662504179738,2508358.449580853,791.0919278137269
1356,LTT 1445A c,0.08490820604431219,10870497.988035608,5.748406201087556,2476024.5643838514,252.37244792393076
1511,TOI-1685 b,0.4668052467717169,14253823.437956948,12.73680494320819,2418955.074969273,750.5231110027664
1599,TOI-5205 b,0.0969357244742414,6318903.197108992,7.909253554637946,2418293.612727013,206.665589778362
1346,LP 890-9 b,0.0010498894156327305,19186305.757282335,12.80418911174364,1948707.302544925,1260.6566771271969
1508,TOI-1634 b,0.04786615921082822,2031686.358614782,15.005134861832127,1933046.2961401944,157.70821355304187
1329,LHS 1140 c,0.026967158693559527,19342304.968729626,5.013224240859044,1905551.7017216925,508.86739024563
