;name;planet_mass;planet_radius;star_planet_distance;star_age;spectral_type;earth_distance;pow_received_kinetic;pow_received_magnetic;freq_max_planet;pow_received_spi;freq_max_star
653;HD 217107 b;1.394;1.0923853107621257;0.06511088;7320000000.0;G8IV/V;19.72;0.5767362957170766;210.30665596115637;31.399713582531387;18677.386070388617;3.5355957931124355
1674;WASP-104 b;1.272;1.137;0.02918;5200000000.0;G8;143.0;0.0767039522173065;158.3587764695326;33.15595980977698;11762.111254851761;4.463941136403962
337;HATS-2 b;1.345;1.168;0.023;9700000000.0;K;360.0;0.013593047913441118;139.64180194888672;26.3261056599051;6563.78207590708;5.600772222679101
1646;TrES-1 b;0.761;1.099;0.0393;2500000000.0;K0V;157.0;0.14158745439407205;138.501549994582;20.91119736288861;2154.423130709108;13.443196026443614
1780;WASP-50 b;1.437;1.138;0.02886783;8100000000.0;G9V;230.0;0.013541843477510678;129.17990868168832;31.642201042264325;7634.333293488878;5.354150105829782
341;HATS-44 b;0.56;1.067;0.02630929;9700000000.0;K;463.0;0.005628479169923941;118.12570710878705;7.011201262163314;1187.753792936064;6.97285171136173
1666;ups And b;0.62;1.0861251049232983;0.05830026;3800000000.0;F9V;13.47;13.918918843059362;114.24092342759774;11.733808486235521;7155.481853534811;1.8733624712190846
1700;WASP-132 b;0.428;0.901;0.0659079;7200000000.0;K4V;123.17;0.010772824095769122;113.09819211768551;6.075521245022713;431.73299115671387;15.915634965576182
45;BD-10 3166 b;0.46;1.03;0.0455216;4179999999.9999995;K3.0V;66.0;0.7169018139172196;109.89147746357747;6.734443427573574;1419.9809869706623;5.21174540322369
1489;TOI-1408 b;1.69;1.5;0.04292;5200000000.0;8.00 F;139.484;0.12591850507479097;108.59729940988463;47.260497536466715;7648.897875159382;6.709937150417043
1145;KELT-7 b;1.24;1.293;0.0446;1300000000.0;2.00 F;129.0;1.964096179315843;104.7406301329904;61.196790870992785;3257.689969178042;19.675876153315773
1823;WASP-93 b;1.47;1.597;0.04211;5200000000.0;4.00 F;250.0;0.03283552462711161;103.01094422772599;30.03867095657696;3469.8520376926726;8.917705495709175
1697;WASP-12 b;1.47;1.9;0.02344;1700000000.0;G0V;432.5;0.7708839455637947;102.27687208318078;13.994356925897232;2112.4248928623992;6.775621031699325
15;55 Cnc Ab;0.84;0.9002301265496657;0.11312920300000001;10200000000.0;G8V;12.5855;0.2909318809182784;89.20338979213518;12.619876214859575;2182.8111955435147;5.157274891300478
1136;KELT-1 b;27.23;1.15;0.0244728;1750000000.0;5.00 F;263.0;0.1198263693764512;29.524572780393804;1353.150983608938;47986.26215251823;8.325550460972295
1134;KELT-16 b;2.75;1.415;0.02044;2900000000.0;F7V;365.0;0.11815493799890049;55.85718033532218;145.58494035448825;16358.400997650877;4.971124175679245
729;HD 30774 b;41.59;0.7549261511097368;0.05982;5200000000.0;G5V;41.6887;0.049376619163777634;9.353880345597213;633.3714998371292;15590.096775333368;3.8001567977189596
1709;WASP-140 b;2.44;1.44;0.0307819;1600000000.0;K0;180.0;0.3424681035502776;82.31716148526868;160.88363508276584;13627.222088287454;9.718403416076855
93;CoRoT-2 b;3.31;1.465;0.0281;5200000000.0;G7V+K9V;300.0;0.01768983779891491;41.756361152320736;144.59074577007024;13593.923568480395;4.441383953090269
328;HATS-18 b;1.98;1.337;0.01468674;4200000000.0;G;645.0;0.053440753909406405;62.04038598329171;74.16936249957439;10673.65508644442;4.311077920676108
923;HIP 14810 b;3.88;1.140737645358224;0.059325159999999995;5200000000.0;G6V;52.9;0.11060771624564258;31.67136275764633;139.9840850954808;9768.100428118067;4.538739923879311
1768;WASP-3 b;2.06;1.454;0.0313;5200000000.0;F7V;223.0;0.06664185678570658;67.14960981634725;69.75488157617441;9456.19511226007;4.953380323712592
1705;WASP-135 b;1.9;1.3;0.0243;4400000000.0;G5V;300.0;0.0353684812120877;61.56901362437326;67.74270904696147;9383.588789978983;4.444836479533826
878;HD 86081 A b;1.5;1.08;0.0367575;6210000000.0;F8V;91.0;0.12622744053718404;75.62319912170128;37.549199968287915;8831.773557218969;3.215198632149457
1716;WASP-14 b;7.341;1.281;0.032868;750000000.0;F5V;160.0;1.9016264737292083;10.871665831639973;679.1105445984277;8352.48309958304;8.839362876395054
292;HAT-P-23 b;2.09;1.368;0.0207408;4000000000.0;G0;393.0;0.06810481262040818;38.82592356445923;82.73486999706329;8325.07784579293;3.8585317736635476
1080;K2-371 b;4.71;1.16;0.0297;5200000000.0;K3V;442.813;0.0031200501297004883;38.156476558651;177.88570654299332;7954.112507999962;8.533311271370856
1626;TOI-778 b;2.8;1.374;0.0474;1950000000.0;F3V;162.0;0.3664613565830312;71.71128117911213;175.36367705826038;6054.965821808965;20.768992467030788
1673;WASP-103 b;1.49;1.528;0.01985;4000000000.0;F8V;470.0;0.11580061641988433;47.81081980410643;39.98577209036877;4880.561011542801;3.9170753928068676
496;HD 149143 b;1.33;1.05;0.0513604;7600000000.0;G3V;63.0;0.06843157794499648;53.62073391966668;28.281628323820733;4815.747647757625;3.1490056748979067
1487;TOI-1288 Ab;42.0;0.4675;0.0401544;5200000000.0;F9/G0V;114.7;0.005330414612988629;11.412831889856466;266.4188179994673;4441.523152513083;6.845834362929691
